,Unnamed: 0	,rcept_no,new_corp_code,dcm_no
457,457,20210311000765,00407285,7867358
458,458,20210317000465,00129509,7883135
459,459,20210322001112,00305570,7907067
460,460,20210317000257,00287788,7882376
461,461,20210317000934,00191287,7885583
462,462,20210319001327,00185505,7901112
463,463,20210323000375,00652423,7908842
464,464,20210311001074,00144650,7868609
465,465,20210419000439,00186799,8033792
466,466,20210316000605,00356802,7878749
467,467,20210318000429,00210856,7889145
468,468,20210318001061,01108099,7892654
469,469,20210322001161,00573579,7907490
470,470,20210701000250,00140177,8128838
471,471,20210317001286,00366137,7887473
472,472,20210323000841,00349097,7911141
473,473,20210323000513,00542074,7909516
474,474,20210630000972,00389970,8128037
475,475,20201229000327,00168401,7738615
476,476,20210315001021,00117629,7876357
477,477,20210319001358,00484682,7901271
478,478,20210707000520,00492894,8136204
479,479,20210318001321,00173351,7894333
480,480,20200928000403,00134316,7495995
481,481,20210323001172,00138297,7913091
482,482,20210319000749,00371740,7898015
483,483,20210318000062,00127802,7887908
484,484,20210416000120,00573269,8031156
485,485,20210316000712,00223513,7879215
486,486,20210319000854,00220109,7898525
487,487,20210310000273,00123107,7861897
488,488,20210318001196,00441304,7893523
489,489,20210323000884,00985686,7911393
490,490,20210325000002,00219440,7916189
491,491,20210316001139,00141389,7880914
492,492,20210316000817,00410915,7879587
493,493,20210707000536,00392691,8136248
494,494,20210323000575,00104999,7909794
495,495,20210317001211,00178851,7887159
496,496,20210319000307,01089855,7896100
497,497,20210303000280,00923792,7850206
498,498,20210319000002,00133812,7895241
499,499,20210317000288,00479787,7882457
500,500,20210329000647,00136776,7925536
501,501,20210318000858,00563837,7891431
502,502,20210319001209,00172945,7900370
503,503,20210319001097,00158219,7899771
504,504,20210318001311,00115977,7894276
505,505,20210322000506,00152783,7903671
506,506,20210322000580,00359623,7904016
507,507,20210817000623,00400857,8178377
508,508,20210318000935,00372226,7891915
509,509,20210323001007,00532855,7912047
510,510,20210218001086,00134477,7810110
511,511,20210603000195,00620558,8098044
512,512,20210330000968,00528515,7930652
513,513,20210318000688,00174527,7890473
514,514,20210323000609,00351092,7909957
515,515,20210311001051,00142661,7868507
516,516,20210311000638,00133991,7866886
517,517,20210317000661,00152039,7884041
518,518,20210318001420,00146427,7895013
519,519,20210319001037,00763358,7899454
520,520,20210318001225,00155531,7893704
521,521,20210319000800,00569646,7898310
522,522,20210618000411,00608802,8114450
523,523,20210322000476,00172228,7903497
524,524,20210818000238,00124090,8185173
525,525,20210318000635,00855093,7890165
526,526,20210318000733,00128412,7890691
527,527,20210319000859,00243979,7898563
528,528,20210329001068,01144569,7926935
529,529,20210322000601,00616962,7903940
530,530,20210326001259,00145686,7923112
531,531,20210323000882,00378628,7911355
532,532,20210315000552,00128546,7874654
533,533,20200629000177,00490090,7391130
534,534,20210311001031,00115676,7868419
535,535,20210319001375,00180865,7901373
536,536,20210322000753,00370006,7904970
537,537,20210322000357,00300557,7902884
538,538,20210322000424,00176835,7903258
539,539,20210323000543,00141556,7909648
540,540,20210322000475,00148948,7903488
541,541,20210317001280,00121507,7887609
542,542,20210817001693,00325112,8182137
543,543,20210318001263,00476498,7893926
544,544,20210319000370,00549891,7896384
545,545,20210311000965,00126478,7868162
546,546,20210826000406,00656021,8194699
547,547,20210317000792,01096341,7884749
548,548,20210319001017,00134510,7899355
549,549,20210318001289,00823429,7894112
550,550,20210319000003,00695969,7895249
551,551,20210311001209,00138729,7869186
552,552,20210315000915,00120526,7875901
553,553,20210406000396,00501970,7972564
554,554,20210322001090,00132211,7906904
555,555,20210317000302,00250997,7882521
556,556,20210426000388,00204226,8042402
557,557,20210319000116,00250614,7895473
558,558,20210322001004,00405959,7906373
559,559,20210308000592,00160375,7858452
