corp_code,corp_name,stock_code,modify_date,ss,,,new_corp_code,,,
301626,플래닛팔이,57330,20170630,6,00,0,00301626,,,
294371,한텔,41940,20170630,6,00,0,00294371,,,
353683,코스모스피엘씨,53170,20170630,6,00,0,00353683,,,
252375,나노하이텍,71360,20170630,6,00,0,00252375,,,
260903,쓰리소프트,36360,20170630,6,00,0,00260903,,,
261461,트라이콤,38410,20170630,6,00,0,00261461,,,
265218,케이엔에스홀딩스,36760,20170630,6,00,0,00265218,,,
471989,지비에스,76170,20170630,6,00,0,00471989,,,
306986,피더블유제네틱스,65910,20170630,6,00,0,00306986,,,
356644,엠텍반도체,54440,20170630,6,00,0,00356644,,,
305695,세니콘,56060,20170630,6,00,0,00305695,,,
151252,에스와이,4530,20170630,6,00,0,00151252,,,
257051,유씨아이콜스,65810,20170630,6,00,0,00257051,,,
459589,코크렙제3호CR리츠,73530,20170630,6,00,0,00459589,,,
264839,아이비진,39060,20170630,6,00,0,00264839,,,
366164,아이티센네트웍스,57110,20170630,6,00,0,00366164,,,
436728,리얼티코리아제1호기업구조조정부동산투자,72450,20170630,6,00,0,00436728,,,
136235,BHK,3990,20170630,6,00,0,00136235,,,
328854,포넷,48270,20170630,6,00,0,00328854,,,
120960,맥슨텔레콤,9890,20170630,6,00,0,00120960,,,
220446,예일바이오텍,54250,20170630,6,00,0,00220446,,,
119733,엔토리노,32590,20170630,6,00,0,00119733,,,
119423,두림티앤씨,33330,20170630,6,00,0,00119423,,,
557067,동북아27호선박투자회사,89170,20170630,6,00,0,00557067,,,
557058,동북아28호선박투자회사,89180,20170630,6,00,0,00557058,,,
557030,동북아30호선박투자회사,89200,20170630,6,00,0,00557030,,,
557049,동북아29호선박투자회사,89190,20170630,6,00,0,00557049,,,
244330,현주컴퓨터,38960,20170630,6,00,0,00244330,,,
120100,LG석유화학,12990,20170630,6,00,0,00120100,,,
246657,오브제,58680,20170630,6,00,0,00246657,,,
130037,휴닉스,9790,20170630,6,00,0,00130037,,,
405074,세이프아시아,66330,20170630,6,00,0,00405074,,,
398534,코크렙제1호기업구조조정부동산투자회사,67910,20170630,6,00,0,00398534,,,
234449,제이엠피,54790,20170630,6,00,0,00234449,,,
165200,위너스인프라인,5760,20170630,6,00,0,00165200,,,
150183,AP우주통신,15670,20170630,6,00,0,00150183,,,
268482,조이토토,44370,20170630,6,00,0,00268482,,,
363033,한도하이테크,60660,20170630,6,00,0,00363033,,,
364227,에너윈,55970,20170630,6,00,0,00364227,,,
458915,유레스메리츠제1호,73470,20170630,6,00,0,00458915,,,
386876,교보메리츠퍼스트기업구조조정부동산투자회사,64900,20170630,6,00,0,00386876,,,
163044,한일약품공업,3040,20170630,6,00,0,00163044,,,
543073,굿앤리치부동산공경매투자회사1호,85450,20170630,6,00,0,00543073,,,
160445,한국합섬,25830,20170630,6,00,0,00160445,,,
554468,굿앤리치부동산공경매투자회사2호,88510,20170630,6,00,0,00554468,,,
165565,디에스피이엔티,16040,20170630,6,00,0,00165565,,,
300256,시큐어소프트,37060,20170630,6,00,0,00300256,,,
138491,동부일렉트로닉스,1830,20170630,6,00,0,00138491,,,
102821,고려시멘트,3660,20170630,6,00,0,00102821,,,
377814,베스트플로우,60410,20170630,6,00,0,00377814,,,
364670,쿨투,56020,20170630,6,00,0,00364670,,,
143013,우영,12460,20170630,6,00,0,00143013,,,
263991,모빌링크텔레콤,41310,20170630,6,00,0,00263991,,,
105183,극동제혁,10200,20170630,6,00,0,00105183,,,
173254,한마음상호저축은행,25450,20170630,6,00,0,00173254,,,
101637,그로웰전자,9220,20170630,6,00,0,00101637,,,
124513,부흥,3930,20170630,6,00,0,00124513,,,
139418,알루코,21570,20170630,6,00,0,00139418,,,
154417,퍼시픽글라스,9080,20170630,6,00,0,00154417,,,
119362,아이인프라,8780,20170630,6,00,0,00119362,,,
140353,씨크롭,16970,20170630,6,00,0,00140353,,,
170451,외환신용카드,38400,20170630,6,00,0,00170451,,,
267793,삼화기연,33210,20170630,6,00,0,00267793,,,
260639,대흥멀티미디어통신,37250,20170630,6,00,0,00260639,,,
153852,텔슨정보통신,18180,20170630,6,00,0,00153852,,,
248956,비이티,36820,20170630,6,00,0,00248956,,,
390028,코오롱인터내셔널,63510,20170630,6,00,0,00390028,,,
260888,엔써커뮤니티,37750,20170630,6,00,0,00260888,,,
275710,써미트테크놀로지,39000,20170630,6,00,0,00275710,,,
172103,코리아이앤디,27440,20170630,6,00,0,00172103,,,
263955,트래픽아이티에스,38050,20170630,6,00,0,00263955,,,
261601,호성,35870,20170630,6,00,0,00261601,,,
265254,넥스텔,37220,20170630,6,00,0,00265254,,,
255266,쓰리알,37730,20170630,6,00,0,00255266,,,
259916,그로웰텔레콤,35780,20170630,6,00,0,00259916,,,
131434,서통,1150,20170630,6,00,0,00131434,,,
271352,테크메이트,43690,20170630,6,00,0,00271352,,,
244932,한아시스템,36020,20170630,6,00,0,00244932,,,
348052,엔에스아이,53250,20170630,6,00,0,00348052,,,
367598,케이티씨텔레콤,55810,20170630,6,00,0,00367598,,,
267720,신한SIT,54530,20170630,6,00,0,00267720,,,
147949,스마텔,4190,20170630,6,00,0,00147949,,,
203458,동방라이텍,25690,20170630,6,00,0,00203458,,,
130000,아이텍스필,8030,20170630,6,00,0,00130000,,,
145534,이수세라믹,32180,20170630,6,00,0,00145534,,,
425360,코크렙제2호기업구조조정부동산투자회사,70540,20170630,6,00,0,00425360,,,
141334,영풍산업,2850,20170630,6,00,0,00141334,,,
384452,모닷텔,48150,20170630,6,00,0,00384452,,,
103583,광덕물산,3590,20170630,6,00,0,00103583,,,
162142,동원증권,5890,20170630,6,00,0,00162142,,,
236021,우주통신,54080,20170630,6,00,0,00236021,,,
106483,기라정보통신,19930,20170630,6,00,0,00106483,,,
208374,텔슨전자,27350,20170630,6,00,0,00208374,,,
309983,하이콤정보통신,48540,20170630,6,00,0,00309983,,,
277727,미래에셋굿라이프혼합형자녀를위한펀드5-1,37500,20170630,6,00,0,00277727,,,
